Brand,Model,Year,Power,Drivetrain,Form Factor,Price,Type,Safety Rating,Range,Features,Picture
Audi,e-tron 55 quattro,2021,408,AWD,SUV ,88850,BEV,5,355,Adaptive Cruise Control,
Audi,A3 e-tron,2019,204,AWD,SUV,42125,PHEV,4,0,Back Up Camera,
Audi,Q5 TFSI e,2020,362,AWD,SUV,73100,PHEV,4.5,647,,
Audi,A8 ,2021,0,AWD,Sedan ,0,PHEV,0,0,,
Bentley,Bentayga,2021,443,AWD,SUV,168100,PHEV,5,0,,
BMW,i3,2021,170,RWD,Hatchback,57543,BEV,4,235,,
BMW,i3,2021,170,RWD,Hatchback,57543,PHEV,4,235,,
BMW,i3s,2021,184,RWD,Hatchback,61681,BEV,4,195,,
BMW,i3s,2021,184,RWD,Hatchback,61681,PHEV,4,195,,
BMW,i8,2020,369,AWD,Subcompact,189117,PHEV,5,100,,
BMW,X3 ,2021,382,AWD,SUV ,73350,PHEV,5,598,,
BMW,530e,2021,180,AWD,Mid-size ,72847,PHEV,5,533,,
BMW,530Xe,2021,184,AWD,Mid-size ,71573,PHEV,5,595,,
BMW,330e,2021,288,AWD,Sedan ,54031,PHEV,5,500,,
BMW,330Xe,2021,300,AWD,Sedan ,59284,PHEV,5,490,,
Fiat Chrysler,Pacifica,2020,287,AWD,Minivan,54885,PHEV,0,580,,
Fiat Chrysler,Fiat 500 Cabrio,2019,118,FWD,Hatchback,46000,BEV,4,135,,
Ferrari,SF 90 Stradale,2021,986,FWD,Sports ,795972,PHEV,4,210,,
Ford,Fusion,2020,181,FWD,Mid-Size ,47752,PHEV,5,610,,
Ford,Escape,2020,181,FWD,SUV ,35475,PHEV,5,643,,
Ford,Mustang Mach-E,2021,266,RWD,SUV ,56030,BEV,5,337,,
General Motors,Chevrolet Volt,2019,149,FWD,Compact ,49662,PHEV,5,675,,
General Motors,Chevrolet Bolt,2020,200,FWD,Station Wagon ,53356,BEV,5,416,,
Honda,Clarity,2021,181,FWD,Sedan ,43752,PHEV,0,540,,
Honda,Clarity,2021,181,FWD,Sedan ,0,BEV,0,0,,
Honda,Clarity,2021,181,FWD,Sedan ,0,HFCV,0,0,,
Hyundai,Sonata ,2019,185,FWD,SUV ,30000,PHEV,5,481,,
Hyundai,IONIQ,2021,313,AWD,SUV ,60718,PHEV,4,0,,
Hyundai,KONA,2021,204,FWD,SUV ,62989,BEV,4.5,360,,
Hyundai,NEXO,2021,160,FWD,SUV ,73000,HFCV,5,570,,
Jaguar,I-PACE,2021,400,AWD,SUV ,113597,BEV,5,226,,
Karma,Revero,2020,403,RWD,Sedan ,169000,PHEV,4,482,,
Kia,Niro ,2020,204,FWD,SUV ,59417,BEV,4,310,,
Kia,Niro ,2020,204,FWD,SUV ,59417,PHEV,0,310,,
Kia,Optima,2020,185,FWD,Large ,35857,PHEV,4,800,,
Kia,Soul EV Luxury,2021,109,FWD,Station Wagon ,44504,BEV,4,178,,
Kia,Soul EV Luxury,2020,109,FWD,Station Wagon ,50808,BEV,4,178,,
Land Rover,Range Rover,2021,395,AWD,Large ,124171,PHEV,4,840,,
Land Rover,Range Rover Sport,2021,254,AWD,Large ,97236,PHEV,4,803,,
Lincoln,Aviator,2021,400,AWD,SUV ,114111,PHEV,4,300,,
MINI,Countryman,2021,221,AWD,Mid-Size ,48077,PHEV,4,27,,
MINI,Cooper SE,2021,184,FWD,Hatchback ,43543,BEV,4,155,,
Mitsubishi,Outlander,2020,117,AWD,Mid-size ,66222,PHEV,4,35,,
Nissan,Leaf,2021,147,FWD,Mid-size ,41477,BEV,5,363,,
Polestar,2,2021,402,AWD,Hatchback ,69900,PHEV,5,374,,
Porsche,Cayenne,2020,455,AWD,SUV ,105896,PHEV,5,0,,
Porsche,Panamera,2020,457,AWD,Large ,150598,PHEV,5,23,,
Porsche,Taycan,2020,522,AWD,Sedan ,237326,PHEV,5,643,,
Smart,Fortwo,2019,89,RWD,Small ,36996,BEV,4,101,,
Subaru,Crosstrek SUV,2020,148,AWD,SUV ,46351,PHEV,5,772,,
Tesla,Model S,2020,534,AWD,Large ,89938,BEV,5,646,,
Tesla,Model X,2020,534,AWD,SUV ,103400,BEV,5,549,,
Tesla,Model 3,2020,480,RWD,Mid-size ,49911,BEV,5,423,,
Tesla,Model Y,2020,480,AWD,SUV ,65193,BEV,5,525,,
Toyota,Prius Prime,2021,121,FWD,Mid-size ,37207,PHEV,5,40,,
Toyota,Mirai,2020,151,FWD,Subcompact ,75834,HFCV,5,502,,
Toyota,RAV4 Prime,2021,302,AWD,SUV ,44990,BEV,5,67,,
Volkswagen,e-Golf,2020,134,FWD,Compact ,50675,BEV,5,201,,
Volvo,XC90,2021,316,AWD,SUV ,49995,PHEV,4.5,526,,
Volvo,XC90 T8,2021,313,AWD,SUV ,71245,PHEV,5,529,,
Volvo,XC60,2021,250,AWD,SUV ,52495,PHEV,5,526,,
Volvo,XC60 T8,2021,415,AWD,SUV ,70495,PHEV,5,561,,
Volvo,S90 T8,2021,313,AWD,Mid-Size Car,74950,PHEV,5,625,,
Volvo,S60 T8,2021,313,AWD,Compact Car,51645,PHEV,5,725,,
Volvo,V60 T8,2021,415,AWD,Station Wagon ,68295,PHEV,5,781,,
